codigo,label_pt,dominio_num,dominio,classe_num,classe,definicao,status
00362,Risco de pressão arterial desequilibrada,4,Atividade/repouso,4,Respostas cardiovasculares/pulmonares,"Suscetibilidade a elevação ou diminuição recorrente da força exercida pelo fluxo sanguíneo na parede arterial, acima ou abaixo dos níveis individuais desejados.",Ativo na NANDA-I 2024-2026
00363,Habilidade de sentar-se prejudicada,4,Atividade/repouso,2,Atividade/exercício,Limitação de posicionamento e/ou manutenção independente e intencional do corpo em posição de repouso apoiado pelas nádegas e coxas e com o torso ereto.,Ativo na NANDA-I 2024-2026
00364,Habilidade de ficar em pé prejudicada,4,Atividade/repouso,2,Atividade/exercício,Limitação de posicionamento e/ou manutenção independente e intencional do corpo com alinhamento vertical dos pés à cabeça.,Ativo na NANDA-I 2024-2026
00365,Habilidade de deambulação prejudicada,4,Atividade/repouso,2,Atividade/exercício,Limitação do movimento de andar no ambiente de forma independente.,Ativo na NANDA-I 2024-2026
00366,Carga excessiva de prestação de cuidados,9,Enfrentamento/tolerância ao estresse,2,Respostas de enfrentamento,Tensão multidimensional opressiva ao cuidar de uma pessoa significativa.,Ativo na NANDA-I 2024-2026
00367,Habilidade de transferência prejudicada,4,Atividade/repouso,2,Atividade/exercício,Limitação do movimento independente entre duas superfícies próximas.,Ativo na NANDA-I 2024-2026
00368,Disposição para comunicação verbal melhorada,5,Percepção/cognição,5,Comunicação,"Padrão de recebimento, processamento, transmissão e/ou uso de um sistema de símbolos, que pode ser fortalecido.",Ativo na NANDA-I 2024-2026
00369,Risco de autogestão ineficaz da saúde,1,Promoção da saúde,2,Gestão da saúde,"Suscetibilidade a manejo insatisfatório de sintomas, regime terapêutico e mudanças no estilo de vida associados a viver com uma doença crônica.",Ativo na NANDA-I 2024-2026
00370,Risco de volume de líquidos excessivo,2,Nutrição,5,Hidratação,Suscetibilidade à retenção excessiva de líquido intracelular ou extracelular.,Ativo na NANDA-I 2024-2026
00371,Amamentação ineficaz,2,Nutrição,1,Ingestão,"Dificuldade de fornecer ou receber leite humano da mama, o que pode comprometer o estado nutricional de um lactente ou criança.",Ativo na NANDA-I 2024-2026
00372,Regulação ineficaz das emoções,9,Enfrentamento/tolerância ao estresse,3,Respostas neurocomportamentais,"Inabilidade de controlar os sentimentos, afetando pensamentos, ações e interações, o que leva a respostas e expressões inapropriadas em situações sociais.",Ativo na NANDA-I 2024-2026
00373,Enfrentamento familiar desadaptativo,9,Enfrentamento/tolerância ao estresse,2,Respostas de enfrentamento,Esforços cognitivos e/ou comportamentais da família contraproducentes para manejar uma situação estressante ou desagradável.,Ativo na NANDA-I 2024-2026
